rh,temp,co2
64.165,27.428,114.599998474
64.165,27.428,114.599998474
64.165,27.428,114.599998474
64.165,27.428,114.599998474
64.165,27.428,114.300003052
64.165,27.428,114.900001526
64.165,27.428,113.800003052
63.476,27.441,113.5
63.476,27.441,113.599998474
63.124,27.448,113.5
63.124,27.448,115
63.126,27.451,114.800003052
63.126,27.451,113.5
63.104,27.454,114.300003052
63.104,27.454,114.199996948
63.126,27.451,114.900001526
63.126,27.451,116
63.104,27.454,115.099998474
63.104,27.454,115.099998474
62.966,27.464,116.5
62.966,27.464,114.900001526
63.017,27.471,114.900001526
63.017,27.471,114.300003052
62.999,27.481,114.699996948
62.999,27.481,113.800003052
63.017,27.471,115.400001526
63.017,27.471,115
63.063,27.49,114.300003052
63.063,27.49,115.099998474
63.135,27.501,116.400001526
63.135,27.501,114.800003052
63.141,27.51,115.099998474
63.141,27.51,114.5
62.967,27.531,113.900001526
62.967,27.531,113.800003052
63.141,27.51,114.199996948
63.141,27.51,113.800003052
62.874,27.539,114.699996948
62.874,27.539,114
62.707,27.539,114.099998474
62.707,27.539,114.5
62.539,27.556,113.699996948
62.539,27.556,114
62.707,27.539,113.800003052
62.707,27.539,113.900001526
62.707,27.539,113.5
62.707,27.539,114.900001526
62.707,27.539,114.699996948
62.707,27.539,114.599998474
62.059,27.576,114.400001526
62.059,27.576,114.699996948
62.022,27.583,113.900001526
62.022,27.583,113.800003052
62.059,27.576,114.099998474
62.059,27.576,113
62.059,27.576,113.900001526
62.059,27.576,114.900001526
62.059,27.576,114.800003052
62.059,27.576,113.199996948
62.059,27.576,114.300003052
62.059,27.576,114.099998474
62.059,27.576,114.5
62.059,27.576,114.5
62.059,27.576,115.400001526
62.059,27.576,115.400001526
62.452,27.582,115.300003052
62.452,27.582,115.5
62.022,27.583,116.800003052
62.022,27.583,117.5
62.413,27.579,116.699996948
62.413,27.579,117.400001526
62.404,27.579,117
62.404,27.579,116.699996948
62.444,27.577,117.099998474
62.444,27.577,116.199996948
62.502,27.577,117.199996948
62.502,27.577,118.199996948
62.538,27.574,119
62.538,27.574,118.199996948
62.502,27.577,118.5
62.502,27.577,118
62.538,27.571,118.400001526
62.538,27.571,118.199996948
62.889,27.565,118.800003052
62.889,27.565,119.099998474
62.998,27.561,119.099998474
62.998,27.561,118.699996948
63.119,27.558,117.699996948
63.119,27.558,118.199996948
62.998,27.561,118.099998474
62.998,27.561,117.599998474
63.243,27.552,117.599998474
63.243,27.552,117
63.424,27.543,117
63.424,27.543,117.099998474
63.577,27.537,117.599998474
63.577,27.537,118
63.577,27.537,118
63.577,27.537,118.5
63.577,27.537,118.199996948
63.577,27.537,118.400001526
63.577,27.537,117.900001526
63.577,27.537,117.800003052
63.577,27.537,117.900001526
63.577,27.537,118.400001526
64.096,27.495,119
64.096,27.495,119.800003052
64.124,27.485,119.900001526
64.233,27.474,119
64.233,27.474,119
64.277,27.467,119.199996948
64.277,27.467,119.699996948
64.233,27.474,120.300003052
64.233,27.474,121
64.233,27.474,120.199996948
64.233,27.474,120.800003052
64.233,27.474,121.5
64.233,27.474,121.599998474
64.233,27.474,120.099998474
64.233,27.474,121.099998474
64.233,27.474,121.099998474
64.233,27.474,121.5
64.277,27.467,121.099998474
64.277,27.467,121
64.277,27.467,121.099998474
64.277,27.467,122.300003052
64.645,27.419,122.400001526
64.645,27.419,123.199996948
64.645,27.417,122.5
64.645,27.417,121.300003052
64.666,27.416,121.800003052
64.666,27.416,122.099998474
64.704,27.416,122.099998474
64.704,27.416,122.5
64.666,27.416,122.099998474
64.666,27.416,122.099998474
64.757,27.418,122.599998474
64.757,27.418,122
64.799,27.418,123.300003052
64.799,27.418,123.599998474
64.861,27.42,123.599998474
64.861,27.42,123
64.931,27.422,123.599998474
64.931,27.422,122.900001526
64.967,27.423,123
64.967,27.423,123.699996948
64.931,27.422,124.5
64.931,27.422,124.400001526
64.992,27.425,124.099998474
64.992,27.425,124.900001526
65.036,27.428,124.5
65.036,27.428,125.199996948
65.076,27.43,124.099998474
65.076,27.43,124.400001526
65.076,27.43,124.699996948
65.076,27.43,125.5
